ID,Description,Source
99-2,t-uno-,
99-3,t-ororo-pe,
99-4,umne,
99-5,,
99-6,,
99-7,,
99-8,,
99-9,,
99-10,,
99-11,,
99-12,,
99-13,,
99-14,,
99-15,,
100-1,ətetɨ,
