"ID","Cognateset_ID","Language_ID","Form","Source","Host","Comment"
"ara_3int","3n; 3i; 3m","para1310","moni-; mon-","alves2017arara[155]","V","There are no examples of V-initial transitive or C-initial intransitive verbs, but the form is always given as obj:mon(i)-"
"ara_13pro","13pro","para1310","t͡ʃimna","alves2017arara[54]",,
"ara_3i","3i","para1310","i-; Ø-","alves2017arara[146]","V","This is the third person Sp marker. It seems to have a lexically conditioned allomorph obj:ju- with the verb obj:page ‘to wake up’: ex:ara-43
This allomorph was not found with any other verb."
"ara_3zero","NA","para1310","Ø-","alves2017arara[146]","V","This is the third person Sa marker."
"ara_1sa","1sa","para1310","wɨ-; w-","alves2017arara[149]","V",
"ara_1sa1",12,"para1310","k-","alves2017arara[149]","V",
"ara_1a","pek_1a","para1310","j-; ini-; in-","alves2017arara[144]","V","The deletion of final /i/ is lexically conditioned, and not with the same distribution as the allomorphy of morph:ara_12a (src:alves2017arara[145])."
"ara_1p","1p; link","para1310","j-; ɨ-; ɨw-","alves2017arara[144]","V; N",
"ara_2p","2p","para1310","o-; ow-","alves2017arara[152]","V; N",
"ara_12a","12a; 3i","para1310","kud-; kut͡ʃi-; kut-","alves2017arara[58]","V","The deletion of final /i/ is lexically conditioned, and not with the same distribution as the allomorphy of morph:ara_1a (src:alves2017arara[144])."
"ara_12sa","12a","para1310","kut-; kud-; kun-; kut͡ʃ-","alves2017arara[58]","V",
"ara_2a","2a; 3i","para1310","mi-; m-","alves2017arara[80]","V",
"ara_2sa","2a","para1310","mɨ-; m-","alves2017arara[80]","V","The form obj:mɨ- only occurs with obj:ke ‘to say’ (src:alves2017arara[150])."
"ara_12","uku; link","para1310","ugu-; ug-; uk-; ugw-","alves2017arara[151]","V",
"ara_detrz","recp","para1310","ot͡ʃi-; ot-; od-; on-","alves2017arara[56]","V",
"ara_lk","link","para1310","j-","alves2017arara[147]","V; N",
"ara_1on2","NA","para1310","ko-; kw-; k-; kow-","alves2017arara[58]","V","obj:kw- before /a/; obj:kow- before /o/ and /ɨ/; changes following /e to /i/. possible connection to lg:wayana morph:way_1on2?"
"ara_topo","topo","para1310","-tubo; -tpo","alves2017arara[94--97]","V",
"ara_agnom","ne","para1310","-ni","alves2017arara[97]","V",
"ara_ri","ri","para1310","-lɨ; -rɨ; -nɨ","alves2017arara[60]","V",
"ara_neg","neg_adv","para1310","pɨra; bra","alves2017arara[79]","V",
"ara_3ni","3n; 3i","para1310","ni-; n-","alves2017arara[49]","V",
"ara_3n","3n","para1310","nɨ-; n-","alves2017arara[49]","V",
"pem_1p","1p","pemo1248","uj-; u-","swiggers2010gramatica[143]","V",
"pem_2sw","2p; wnmlz","pemo1248","aw-; au-","mosonyi2000pemon[521]","V",
"pem_2p","2p; link","pemo1248","aj-; a-","swiggers2010gramatica[184]","V",
"pem_3i","3i","pemo1248","ij-; i-","swiggers2010gramatica[127]","V",
"pem_1s","NA","pemo1248","Ø-","swiggers2010gramatica[153]","V",
"pem_3n","3n","pemo1248","nV-; n-","swiggers2010gramatica[149]","V",
"pem_2s","2a","pemo1248","mV-; m-","swiggers2010gramatica[149]","V",
"pem_1s_new","NA","pemo1248","Ø-","swiggers2010gramatica[149]","V",
"pem_1a","1a","pemo1248","sV-; s-","swiggers2010gramatica[149]","V",
"pem_topo","topo","pemo1248","-toʔ","swiggers2010gramatica[201]","V",
"pem_agnom","ne","pemo1248","-nin","swiggers2010gramatica[107]","V",
"pem_sup","sup","pemo1248","-seʔna","swiggers2010gramatica[219]","V",
"pem_inf","inf","pemo1248","-nə; -n","swiggers2010gramatica[167]","V","only INTR, occurs with reflex of *poko or *topo"
"pem_ri","ri","pemo1248","Ø","gildea1998","V",
"tri_3sa_pst","3ky; 3n","trio1238","kɨn-","triomeira1999[283]","V","no umlaut"
"tri_3_pst","3ky; 3n; 3i","trio1238","kɨn-","triomeira1999[283]","V","causes umlaut"
"tri_3sa","3n","trio1238","nɨ-; n-","triomeira1999[291]","V","no umlaut"
"tri_3","3n; 3i","trio1238","ni-; n-","triomeira1999[283]","V","causes umlaut"
"tri_t","t","trio1238","tɨ-; t-","triomeira1999[230]","V",
"tri_13pro","13pro","trio1238","anja","triomeira1999[152]",,
"tri_3i","3i","trio1238","i-; Ø-","triomeira1999[283]","V","obj:i- also optionally occurs on C-initial verbs with a preverbal P (src:triomeira1999[289])."
"tri_1a","1sa; 3i","trio1238","wi-; w-","triomeira1999[283]","V",
"tri_1sa","1a","trio1238","s-; t-","triomeira1999[245]","V",
"tri_1p","1p; link","trio1238","ji-; j-","triomeira1999[283]","V","src:meira1998proto[80--81] suggests an extension of the _V allomorph obj:j- to _C position, with insertion of /i/, possibly supported by the reanalysis of verb-initial /i/ as belonging to the prefix."
"tri_2p","2p","trio1238","ə-; a-; o-","triomeira1999[283]","V","causes umlaut"
"tri_12a","12a; 3i","trio1238","kɨt-; kii-; ke-; k-","triomeira1999[287]","V","causes umlaut"
"tri_12sa","12a","trio1238","kɨt-; ke-; kɨ-; k-","triomeira1999[292]","V","Lack of umlaut and different C-initial form differentiate it from morph:tri_12a."
"tri_2sa","2a","trio1238","mɨ-; m-","triomeira1999[291]","V",
"tri_2a","2a; 3i","trio1238","mi-; m-","triomeira1999[283]","V",
"tri_12",12,"trio1238","kɨ-; k-","triomeira1999[283]","V",
"tri_detrz","refl; recp","trio1238","ət-; ə-; əəs-; əi-; e-; et-","triomeira1999[254]","V","Some verbs show free variation, but e.g. obj:epɨ ‘to bathe’ is never rc:əipɨ (src:triomeira1999[255--256])."
"tri_topo","topo","trio1238","-topo; -to","triomeira1999[183]","V",
"tri_agnom","ne","trio1238","-ne","triomeira1999[169]","V",
"tri_sup","sup","trio1238","-se; -je; -e; -V","triomeira1999[329]","V",
"tri_inf","inf","trio1238","-nə","triomeira1999[179]","V","TR and INTR"
"tri_ri","ri","trio1238","Ø","gildea1998","V",
"tri_neg","neg_adv","trio1238","-Vra","triomeira1999[366--368]","N",
"tri_1sa_old","1sa","trio1238","wɨ-; w-","triomeira1999[245]","V",
"tri_12t","12a","trio1238","kɨɨ-; kɨt-","triomeira1999[289]","V","only on t-adding stems"
"wmr_3","3n","waim1253","nɨ-; n-","waimiribruno2003[87]","V",
"wmr_t","t","waim1253","tɨ-","waimiribruno2003[169]","V",
"wmr_13pro","13pro","waim1253","aʔa","waimiribruno2003[78]",,
"wmr_13pre","13pro","waim1253","aʔ-","waimiribruno2003[78]",,
"wmr_3i","3i","waim1253","j-","waimiribruno2003[166]","V",
"wmr_12a","12a; 1a","waim1253","hɨ-; h-; hu-","waimiribruno2003[87]","V",
"wmr_1sa","1sa","waim1253","wɨ-; w-","waimiribruno2003[87]","V",
"wmr_1p","1pro","waim1253","aa-","waimiribruno2003[87]","V; N","Occurs in 1S function only with obj:kɨta ‘shout’ (src:waimiribruno2003[121])."
"wmr_2p","2p","waim1253","a-","waimiribruno2003[87]","V; N",
"wmr_2a","2a","waim1253","mɨ-; m-; mu-","waimiribruno2003[87]","V",
"wmr_12",12,"waim1253","k-","waimiribruno2003[87]","V; N","Can co-occur in 2>1 scenarios with morph:wmr_1p, but not obligatorily (src:waimiribruno2003[123])."
"wmr_3ka","NA","waim1253","ka","waimiribruno2003[80]",,
"wmr_topo","topo","waim1253","-tɨpɨ","waimiribruno2003[104]","V",
"wmr_sup","sup","waim1253","-se","waimiribruno2003[71]","V",
"wai_3","3n","waiw1244","nɨ-; n-; Ø-","waiwaihawkins1998[178]","V",
"wai_t","t","waiw1244","tɨ-; t-; t͡ʃ-","waiwaihawkins1998[192]","V",
"wai_13pro","13pro","waiw1244","amna","waiwaihawkins1998[97]",,
"wai_3i","3i","waiw1244","i-; jɨ-; Ø-","waiwaihawkins1998[178]","V",
"wai_1a","1sa","waiw1244","wɨ-; w-; Ø-","waiwaihawkins1998[178]","V",
"wai_1p","emp; link","waiw1244","oj-; o-","waiwaihawkins1998[180]","V; N",
"wai_2p","2p","waiw1244","aw-; a-","waiwaihawkins1998[180]","V; N","The origins of /w/ are unclear."
"wai_12a","12a","waiw1244","tɨtɨ-; tɨt-; tɨ-; t-","waiwaihawkins1998[178]","V",
"wai_2a","2a","waiw1244","mɨ-; m-","waiwaihawkins1998[178]","V","Is combined with morph:wai_1pro in 2>1 scenarios."
"wai_12",12,"waiw1244","kɨ-; k-","waiwaihawkins1998[178]","V",
"wai_detrz","refl; recp","waiw1244","et-; es-; et͡ʃ-; eʃ-; ese-; e-","waiwaihawkins1998[44--45]","V",
"wai_lk","link","waiw1244","j-","waiwaihawkins1998[83]","V; N","Only occurs with nonfinite verbs and possessed nouns."
"wai_1pro","1pro","waiw1244","owɨ; ow","waiwaihawkins1998[97]",,
"wai_sapo","sapo","waiw1244","-ʃaɸu","waiwaihawkins1998[49]","V",
"wai_topo","topo","waiw1244","-toɸo; -t͡ʃho","waiwaihawkins1998[91]","V",
"wai_agnom","ne","waiw1244","-ɲe","waiwaihawkins1998[94]","V",
"wai_sup","sup","waiw1244","-so; -t͡ʃe","schuring2018kaxuyana[37]","V",
"wai_inf","inf","waiw1244","-no","waiwaihawkins1998[29]","V","TR and INTR"
"wai_ri","ri","waiw1244","-rɨ","gildea1998","V",
"wai_neg","neg_adv","waiw1244","-hra; -ra; -r","waiwaihawkins1998[66]","V; N",
"wai_negnom","neg_nom","waiw1244","-hnɨ; -nɨ; -n; -ɸɨn","waiwaihawkins1998[49]","V",
"wai_1s",12,"waiw1244","kɨ-; k-","waiwaihawkins1998[178]","V",
"way_3sa","3n","waya1269","nɨ-; n-","wayanatavares2005[198--199]","V","no umlaut"
"way_3","3n; 3i","waya1269","ni-; n-","wayanatavares2005[198--199]","V","causes umlaut"
"way_t","t","waya1269","tɨ-; t-","wayanatavares2005[199]","V",
"way_3sa_cert","3n; 3i; 3m","waya1269","məni-; mən-","wayanatavares2005[195]","V","likely no umlaut"
"way_3_cert","3n; 3i; 3m","waya1269","məni-; mən-","wayanatavares2005[195]","V","likely causes umlaut"
"way_3sa_rem","3ky; 3n; 3i","waya1269","kuni-; kun-","wayanatavares2005[216]","V","likely no umlaut"
"way_3_rem","3ky; 3n; 3i","waya1269","kuni-; kun-","wayanatavares2005[216]","V","likely causes umlaut"
"way_13pro","13pro","waya1269","emna","wayanatavares2005[433]",,
"way_3i","3i","waya1269","i-; Ø-","wayanatavares2005[227]","V",
"way_1sa","1sa","waya1269","w-; wɨ-","wayanatavares2005[206]","V",
"way_1a","1sa; 3i","waya1269","wi-; w-","wayanatavares2005[206]","V",
"way_1p","1p; link","waya1269","ɨ-; j-","wayanatavares2005[206]","V; N",
"way_2p","2p","waya1269","əw-; ə-","wayanatavares2005[206]","V; N","causes umlaut; origins of /w/ unclear."
"way_12a","12a; 3i","waya1269","kuhi-; kuh-; kut-; hi-; h-","wayanatavares2005[207]","V",
"way_12sa","12a","waya1269","kuh-; kut-; h-","wayanatavares2005[207]","V","Some verbs take the Sa marker for 1+2, but the Sp markers for other persons."
"way_2a","2a; 3i","waya1269","mi-; m-","wayanatavares2005[208]","V",
"way_2sa","2a","waya1269","mɨ-; m-","wayanatavares2005[208]","V",
"way_12",12,"waya1269","ku-; k-","wayanatavares2005[206]","V; N","Some verbs take the Sa marker for 1+2, but the Sp markers for other persons."
"way_detrz","refl; recp","waya1269","e-; əh-; ət-","wayanatavares2005[254]","V",
"way_1on2","uku; link","waya1269","kuw-; ku-; k-","wayanatavares2005[207]","V","The origin of /w/ is unclear, but it is also found in morph:way_2p. Causes mlaut."
"way_topo","topo","waya1269","-topo; -top","wayanatavares2005[167]","V",
"way_agnom","ne","waya1269","-ne","wayanatavares2005[162]","V",
"way_sup","sup","waya1269","-he; -e","wayanatavares2005[235]","V",
"way_inf","inf","waya1269","-nə","wayanatavares2005[164]","V",
"way_ri","ri","waya1269","Ø","gildea1998","V",
"way_neg","neg_adv","waya1269","-ra","wayanatavares2005[234--235]","V; ADV",
"way_negnom","neg_nom","waya1269","-pɨnɨ","wayanatavares2005[176--177]","N","with general modifier obj:-tə when with verbs"
"yuk_1p","link","yukp1241","j-; Ø-","meira2006syntactic[139]","V","No trace of cogset:1p."
"yuk_2p","2p; link","yukp1241","oj-","meira2006syntactic[139]","V",
"yuk_2a","2a","yukp1241","mɨ-; m-","meira2006syntactic[139]","V",
"yuk_3n","3n","yukp1241","nɨ-; n-","meira2006syntactic[139]","V",
"yuk_12pro","NA","yukp1241","ɨp","meira2006syntactic[139]",,
"ing_1pro","1pro; emp","inga1250","urə","cruz2005fonologia[158]",,
"ing_2pro","2pro; emp","inga1250","amərə","cruz2005fonologia[158]",,
"apa_3sa","3n","apal1257","nɨ-; n-","koehn1986apalai[108]","V","no umlaut"
"apa_3pstsa","3ky; 3n","apal1257","kɨnɨ-; kɨn-","koehn1986apalai[108]","V","no umlaut"
"apa_1sa","1sa","apal1257","wɨ-; w-; ɨ-; Ø","koehn1986apalai[108]","V","no umlaut"
"apa_2sa","2a","apal1257","mɨ-; m-","koehn1986apalai[108]","V","no umlaut"
"apa_12sa","12a","apal1257","sɨ-; s-","koehn1986apalai[108]","V","no umlaut"
"bak_2sa","2a","baka1277","mɨ-; m-","meira2003bakairi[4]","V","no umlaut"
"bak_3sa","3n","baka1277","nɨ-; n-","meira2003bakairi[4]","V","no umlaut"
"bak_12sa","12a","baka1277","kɨd-","meira2003bakairi[4]","V","no umlaut"
"hix_1sa","1sa","hixk1239","ɨ-; w-","hixkaryanaderby1985[188]","V","no umlaut"
